Label,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
niihara,38,13,4,10,48,17,254,5,31,109,68,87,39,41,3,254
niihara,38,11,5,10,53,18,254,5,32,108,69,86,38,38,3,254
niihara,42,15,3,13,48,19,255,5,36,112,68,86,39,39,1,255
niihara,41,14,5,13,49,18,254,6,39,119,68,87,41,43,1,254
niihara,42,13,4,11,49,19,255,4,40,119,68,86,40,44,1,255
niihara,43,15,4,12,56,19,255,4,41,118,69,86,41,43,3,254
niihara,44,15,5,13,60,19,255,5,45,121,68,86,43,42,1,254
niihara,42,12,4,9,70,20,255,4,36,109,68,85,39,35,3,254
niihara,42,11,4,9,69,19,255,5,34,107,68,86,38,35,3,255
niihara,38,11,4,8,64,19,255,7,34,107,69,86,38,34,3,255
niihara,39,9,3,8,62,18,254,9,32,105,68,86,37,33,3,254
niihara,36,9,5,8,61,19,254,8,31,102,68,85,37,32,4,255
niihara,39,13,4,9,63,19,255,5,35,107,67,85,37,34,2,255
niihara,39,12,4,9,60,19,255,5,33,106,68,85,37,34,1,255
