frame,time_sec,L_Knee_Angle,R_Knee_Angle,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Knee_x,L_Knee_y,R_Knee_x,R_Knee_y,L_Ankle_x,L_Ankle_y,R_Ankle_x,R_Ankle_y
41,1.368,159.9,173.1,942.2029,595.58167,850.5594,588.6037,978.89197,730.17017,786.28033,720.51984,967.30096,867.1326,693.67676,863.5655
42,1.401,155.4,173.3,967.6972,597.4127,879.7599,589.0758,994.07886,736.20483,810.7497,719.1148,962.5959,863.81104,719.9396,850.5172
43,1.435,156.8,173.6,986.7407,592.93787,898.6169,581.7611,1000.6914,735.1734,835.6504,716.6206,960.5625,861.5408,754.36487,849.8919
44,1.468,168.1,175.7,1003.56116,585.511,923.34216,576.9693,994.99713,737.4114,861.00464,720.865,960.88403,863.8843,793.6344,849.1284
45,1.502,168.7,169.7,1016.9286,576.2183,935.98663,569.22815,1003.0318,734.03485,894.8176,720.4982,966.32526,859.4669,834.24524,847.4085
46,1.535,172.2,179.3,1039.6901,568.3687,961.1999,564.37946,1015.5844,725.9244,919.6264,715.6745,975.6413,860.924,880.6291,851.23376
47,1.568,171.6,179.0,1053.8163,555.4479,977.19806,551.95264,1030.6088,711.34515,951.2483,704.5522,987.51825,853.1543,928.96185,850.87463
48,1.602,172.4,179.8,1069.3954,557.94183,994.6295,553.96344,1042.7776,716.6498,983.06805,707.9025,1000.2129,854.6325,972.1081,848.6008
49,1.635,173.2,177.9,1086.3195,552.9832,1013.021,554.65015,1065.7988,707.8772,1003.4176,715.0217,1030.8391,844.23706,989.5846,859.2783
50,1.668,167.8,178.6,1101.6083,552.2452,1026.7285,553.73914,1095.8569,702.74506,1018.12726,713.08014,1060.9857,838.90906,1006.41284,863.8691
51,1.702,167.6,172.2,1111.8364,568.1205,1034.8024,572.3498,1121.5406,711.56,1029.7391,723.65546,1101.9839,842.3551,1005.60205,863.8995
52,1.735,166.2,176.7,1135.8783,584.53894,1053.8242,587.28516,1154.4974,724.39526,1028.9868,733.53406,1140.9829,847.8439,997.97864,868.4607
53,1.768,170.8,176.1,1153.1008,595.18286,1070.5607,598.652,1180.3011,735.8335,1039.9757,744.5429,1183.957,853.8569,1003.96875,872.0878
54,1.802,177.2,179.5,1164.05,600.2749,1084.753,603.74115,1203.455,737.2141,1038.972,744.5817,1230.6824,852.3706,999.8148,868.9587
55,1.835,179.8,176.7,1180.508,604.20746,1099.7771,605.89514,1223.0603,737.2659,1045.2117,743.53235,1259.219,851.3832,1004.0993,867.5407
56,1.869,179.3,178.7,1199.0757,613.84033,1117.4426,614.87897,1238.8966,741.4843,1057.5074,746.2174,1273.5685,857.46277,1004.7127,869.0536
57,1.902,176.3,176.5,1218.9917,615.4757,1138.856,614.15656,1251.6735,739.55365,1067.0105,741.36096,1274.1545,854.6772,1006.5427,865.47736
58,1.935,171.5,178.9,1242.0564,620.2103,1159.8904,616.74097,1270.4897,744.5464,1079.5297,743.6411,1278.9946,856.4786,1000.24915,863.5437
59,1.969,162.1,174.7,1254.8617,618.70526,1175.4836,612.59607,1290.1664,747.55115,1099.5526,741.68176,1284.9929,862.72015,1007.6431,869.35187
60,2.002,161.0,176.4,1283.3864,624.69037,1201.6223,616.9345,1306.986,750.7846,1116.3589,743.2271,1289.9791,865.5766,1019.0896,869.3365
61,2.035,151.2,169.8,1303.448,614.4917,1225.6761,604.9232,1332.9769,745.70874,1143.0183,734.9661,1298.2034,866.1771,1021.03735,867.6066
62,2.069,156.5,168.9,1324.4316,608.3623,1250.9353,599.7883,1335.4486,746.70044,1173.6415,733.3116,1292.2775,872.15625,1059.2909,864.1661
63,2.102,160.8,168.0,1342.3815,604.1693,1271.1473,594.1868,1334.2198,752.4805,1201.0968,735.11005,1284.8098,872.51263,1103.8787,857.75214
64,2.135,167.1,168.8,1355.421,593.6245,1284.6224,586.7167,1335.4763,747.34064,1231.5165,734.39777,1289.4532,871.6828,1156.5925,859.0272
65,2.169,168.1,170.6,1372.3002,587.1993,1305.1198,578.5793,1345.7646,736.2799,1266.2311,717.64136,1293.8396,864.7048,1207.2883,843.9734
66,2.202,173.1,170.8,1388.7437,578.4905,1322.8279,571.5496,1351.4945,732.3359,1294.581,718.7299,1303.3602,860.7995,1248.1877,845.6384
67,2.236,169.7,175.1,1413.931,574.1109,1351.3212,568.79846,1380.0242,725.5821,1327.9473,718.92645,1325.5825,854.24396,1294.898,854.0114
68,2.269,166.8,168.8,1430.731,569.6761,1365.8073,563.75775,1400.7849,725.4787,1348.411,717.59204,1347.8624,843.75244,1310.1246,838.1913
69,2.302,163.6,169.6,1446.008,576.00366,1377.6672,570.431,1428.9286,725.2991,1361.2695,722.18713,1378.386,844.7679,1322.3394,853.0232
70,2.336,161.7,165.6,1460.1998,584.02924,1392.1404,579.5067,1455.5952,725.38116,1377.0256,724.76843,1410.6062,848.1625,1327.4664,858.6894
71,2.369,164.5,167.4,1471.8546,593.3183,1401.1338,590.1374,1483.2881,735.5466,1374.3628,735.861,1460.5831,853.7253,1319.5311,864.76666
72,2.402,159.5,169.2,1497.4083,611.57043,1424.469,608.74457,1521.0776,745.10657,1383.2314,743.20465,1501.1473,853.62585,1320.4662,862.0336
73,2.436,169.7,174.1,1508.5254,610.966,1438.3032,609.8247,1539.7267,744.01324,1384.7548,745.4107,1545.2681,853.3171,1322.1793,865.67084
74,2.469,175.5,173.2,1518.6407,622.9898,1445.6975,621.9177,1554.8062,758.4741,1387.6151,758.57153,1573.47,859.5268,1324.6091,868.4336
75,2.502,171.5,175.6,1539.9325,622.0702,1466.6312,617.8787,1581.1384,757.7183,1398.0258,754.45496,1595.8905,857.6338,1329.5322,868.1228
76,2.536,169.6,171.7,1564.0211,627.4681,1490.1367,620.8633,1592.8485,762.6473,1417.1299,753.43384,1595.7788,862.4019,1336.4352,859.8444
77,2.569,157.4,168.8,1590.069,627.80304,1519.0891,618.29877,1618.555,759.8765,1440.9353,740.83154,1598.8276,867.13275,1335.2122,851.2844
78,2.603,152.0,171.0,1619.9817,631.32916,1548.1212,621.7145,1638.5901,756.93036,1461.4227,738.7535,1599.2455,867.81836,1347.531,850.53265
79,2.636,155.6,168.8,1637.546,628.38135,1567.0065,618.50903,1645.4736,760.598,1478.3613,743.89764,1605.5758,864.59863,1368.4253,848.38385
80,2.669,153.3,161.7,1653.2583,619.8994,1586.566,609.1944,1653.8018,757.4077,1512.4032,736.40625,1601.8591,861.5777,1400.3911,835.40063
81,2.703,158.9,165.1,1674.2941,603.01154,1603.8813,591.59174,1661.1061,749.5492,1538.9967,728.3163,1603.0112,867.6134,1438.5507,846.62335
82,2.736,164.1,164.2,1691.128,590.12317,1628.0588,577.4748,1660.8704,745.2744,1573.1255,723.6874,1599.0612,867.0848,1483.8314,844.9075
83,2.769,165.5,169.0,1706.469,574.8935,1647.2369,564.8409,1675.8678,725.7061,1600.7036,710.32166,1611.7194,857.67194,1525.9586,846.60266
84,2.803,171.8,176.3,1737.771,582.0924,1682.0483,575.1441,1693.6444,719.2672,1632.5475,711.5145,1628.1365,853.17957,1573.3923,846.68463
85,2.836,159.0,166.0,1757.4904,576.2026,1692.7893,571.6575,1728.0623,716.63654,1663.3634,715.092,1651.4675,835.2177,1602.104,843.1527
86,2.870,153.5,160.9,1771.6904,575.18634,1708.8308,570.20233,1755.1337,710.1857,1694.6147,710.5894,1672.2667,835.64307,1630.3533,849.4556
87,2.903,158.9,166.9,1791.0795,581.0393,1730.1285,574.7089,1772.8492,711.96735,1710.2274,720.55383,1704.9122,834.4604,1654.3075,867.4202
88,2.936,157.7,168.9,1810.8191,594.5474,1746.8113,589.43536,1792.121,721.3556,1717.9728,733.2847,1723.5787,836.9028,1660.0466,873.39905
89,2.970,143.0,156.7,1818.0205,604.2301,1748.3895,598.93567,1834.2861,731.4472,1733.0182,739.95636,1770.0836,844.1338,1656.3746,875.471
90,3.003,157.7,165.7,1833.9552,610.5575,1774.6267,608.60004,1848.78,739.63605,1731.9559,750.02386,1817.9661,849.137,1656.5952,875.2076
91,3.036,155.6,159.4,1854.6132,626.3355,1792.811,623.16797,1884.3798,771.9146,1744.9471,756.347,1861.039,874.26636,1661.9895,853.8697
92,3.070,146.4,152.3,1871.6797,616.762,1809.4142,615.08844,1895.5876,764.4042,1758.9182,760.4218,1851.6636,861.1113,1654.4341,858.4799
93,3.103,142.1,150.5,1873.562,612.4885,1835.9674,607.58844,1843.6403,766.38837,1777.1383,757.1228,1731.5483,864.1906,1646.659,862.7668
94,3.136,149.5,153.5,1863.6339,616.19073,1857.0825,608.55505,1801.2518,753.1044,1794.7087,747.4175,1650.0172,859.09753,1649.8422,865.9272
95,3.170,150.6,155.3,1860.6362,600.1542,1862.4844,591.84344,1799.514,743.1627,1796.4471,746.3894,1655.9004,853.3384,1662.0411,867.94244
96,3.203,147.0,150.4,1880.7543,585.2672,1874.7294,577.9686,1823.8469,740.7463,1819.3416,743.482,1674.6324,852.956,1680.5603,867.8738
97,3.237,143.6,145.4,1893.3198,574.8391,1895.4316,569.0834,1855.1189,728.3964,1856.279,729.09375,1714.38,845.02515,1712.9099,856.7457
98,3.270,148.2,148.2,1912.1338,539.05774,1909.1964,535.42584,1875.6754,713.37994,1873.4532,714.676,1750.9966,844.374,1746.2876,850.583
99,3.303,152.7,155.2,1899.9027,595.3678,1900.9744,591.06573,1880.6921,723.1003,1880.0984,723.1749,1792.1526,845.60364,1793.2124,852.8806
100,3.337,152.6,147.3,1274.4939,461.3727,1297.9614,463.58112,1275.962,506.5852,1301.7858,508.06012,1268.513,522.17236,1292.7803,525.1422
101,3.370,163.6,158.6,1352.6653,469.10284,1387.4637,469.69757,1353.4658,474.85376,1387.8081,476.2361,1349.3053,502.85165,1378.3334,504.6653
102,3.403,159.3,152.3,1349.4569,473.2802,1384.919,474.1343,1352.1947,485.63794,1387.0944,487.3637,1347.7837,516.40344,1376.7319,518.5673
103,3.437,158.3,155.2,1346.9323,473.44583,1382.9697,474.36484,1350.7828,488.8005,1385.3594,490.58572,1347.008,517.0695,1376.5881,520.2732
104,3.470,157.2,151.7,1349.6462,469.65802,1382.8386,470.65247,1355.2332,487.83484,1386.8884,489.38538,1352.4478,515.47577,1378.4692,518.4789
105,3.504,153.8,148.1,1349.9458,472.3744,1383.4174,473.3867,1356.198,489.4674,1387.6296,490.9637,1353.2117,517.34674,1377.8666,520.19073
106,3.537,151.3,146.8,1345.3228,465.49594,1378.4667,466.99954,1351.9774,482.71317,1382.9124,484.42264,1348.2444,510.78876,1372.7874,514.0287
107,3.570,120.1,116.3,1274.7352,457.58514,1296.6991,459.6302,1279.0245,493.7606,1303.5424,494.943,1273.3513,498.0097,1296.1202,500.58224
108,3.604,115.4,113.2,1274.7267,456.13788,1293.6205,458.28305,1279.9803,492.30792,1300.5374,493.4409,1273.809,496.4201,1292.1504,499.1597
109,3.637,125.7,119.2,1269.2427,446.10672,1284.7023,449.79053,1281.1315,478.46503,1300.6969,480.4781,1271.9647,492.00653,1289.9646,496.84827
110,3.670,125.1,131.6,1281.68,446.81363,1285.2129,448.80368,1284.5819,484.85608,1289.398,485.9807,1276.3729,491.61496,1281.981,494.21048
111,3.704,177.7,179.3,12.348936,629.23083,10.409989,631.8174,5.594118,795.9577,9.351354,807.1852,5.5297565,975.5449,6.0975266,987.29626
112,3.737,163.8,151.5,1259.2604,448.76788,1284.566,450.10687,1267.528,481.9302,1284.4126,482.44345,1267.0435,494.72543,1277.1691,495.628
113,3.770,104.6,106.9,1254.029,443.80966,1275.064,447.6799,1268.3969,460.2456,1287.5563,462.85867,1257.2933,476.55377,1274.8198,482.03094
114,3.804,163.5,143.6,1331.8569,448.08536,1353.4169,450.38132,1331.6377,457.40506,1357.0016,459.33905,1325.618,476.15405,1351.4061,480.86572
115,3.837,151.3,137.2,1331.8679,447.25882,1354.4375,449.54132,1332.8362,457.8482,1358.8625,459.82602,1324.5414,476.9331,1351.047,481.88498
116,3.871,140.0,125.1,1333.1925,442.77036,1352.3695,445.93515,1334.3973,452.21652,1356.7019,454.84827,1324.8904,467.01822,1346.7112,472.88153
117,3.904,100.4,111.0,1261.9457,433.49893,1269.6775,435.63632,1270.7762,466.14664,1275.8168,466.67706,1258.1276,472.19238,1261.8052,475.50882
118,3.937,111.8,117.9,1257.0677,427.95776,1275.3302,429.99417,1261.537,463.80167,1277.719,464.7619,1252.0493,469.04352,1266.2295,471.89487
