frame,time_sec,L_Knee_Angle,R_Knee_Angle,L_Hip_x,L_Hip_y,R_Hip_x,R_Hip_y,L_Knee_x,L_Knee_y,R_Knee_x,R_Knee_y,L_Ankle_x,L_Ankle_y,R_Ankle_x,R_Ankle_y
41,1.368,144.8,135.3,1064.0077,661.00305,1068.5979,662.4557,1070.7083,781.5577,1108.7441,782.5778,1002.2029,891.11334,1051.4895,898.7167
42,1.401,158.7,140.1,1068.3135,660.9028,1082.9956,660.40265,1060.0748,786.5565,1131.3378,781.7576,1002.5856,909.53577,1090.2487,906.5365
43,1.435,178.8,159.4,1084.6227,665.54755,1098.3328,667.3497,1048.287,787.75726,1142.1268,790.7181,1006.68805,917.51,1139.6884,925.6487
44,1.468,177.3,163.9,1090.082,659.62177,1119.3281,666.7545,1049.959,779.54865,1169.0867,793.31836,1013.4234,908.48535,1182.1711,933.8907
45,1.502,168.9,166.9,1103.7686,659.4223,1117.3704,665.4587,1048.3165,773.8537,1180.2048,785.83887,1012.56067,909.78094,1216.9355,928.24274
46,1.535,173.2,176.2,1120.7256,662.70355,1142.9473,671.3553,1061.6862,782.35016,1197.7399,799.09283,1020.8872,898.02216,1243.6123,929.0537
47,1.568,178.1,172.4,1125.1904,665.2806,1157.0442,674.58936,1068.3726,783.2963,1219.3021,808.6212,1020.516,891.57605,1260.273,940.1296
48,1.602,178.0,172.5,1138.9956,671.1873,1172.6276,681.3262,1079.038,793.3555,1231.0986,822.6567,1022.9222,898.2929,1265.8895,953.16595
49,1.635,172.8,167.2,1162.029,668.88336,1184.6965,677.14124,1107.3772,783.7522,1236.5848,808.7593,1034.7041,897.2446,1257.6255,945.9644
50,1.668,166.5,156.3,1175.3328,672.5865,1195.026,681.43536,1126.5569,782.9314,1250.475,802.7615,1037.9879,898.81824,1252.569,934.6103
51,1.702,156.0,155.6,1197.3972,664.7013,1225.5839,674.803,1157.0834,782.38184,1273.8226,821.0036,1060.7174,885.89355,1258.9956,958.92944
52,1.735,150.1,152.0,1213.0734,656.57574,1252.7844,666.214,1180.5382,782.3079,1292.2789,817.7093,1082.0663,882.8822,1260.5647,950.8925
53,1.768,141.7,146.8,1229.6803,650.03217,1271.9508,662.59515,1216.8856,776.5714,1310.6995,814.6483,1122.708,873.6876,1266.5508,943.43005
54,1.802,136.1,145.9,1244.8329,643.6386,1293.5332,660.0989,1239.2887,767.23114,1321.8215,821.9988,1155.4547,846.97797,1266.018,946.49927
55,1.835,140.6,147.6,1260.1898,646.5639,1297.417,661.8992,1255.5414,772.14246,1324.2754,823.2552,1183.5238,853.4248,1273.1166,944.1372
56,1.869,149.2,153.6,1271.4031,648.20667,1316.0042,658.26306,1277.461,769.09576,1317.4292,805.83636,1222.0199,873.80237,1253.0918,938.5553
57,1.902,156.7,156.3,1292.4623,651.9927,1329.0226,658.3466,1307.0952,786.7519,1322.5526,799.7639,1267.5732,915.45447,1255.1532,936.0564
58,1.935,149.2,147.6,1304.3065,650.78656,1338.593,660.0972,1326.6472,782.2702,1340.2716,796.91406,1276.9362,910.8597,1259.1924,928.12225
59,1.969,148.4,150.8,1322.7515,653.7784,1352.2583,665.00397,1362.809,774.56366,1343.202,799.31836,1334.7161,893.9561,1254.7551,935.2694
60,2.002,144.1,147.7,1335.7792,652.3312,1354.7881,664.42053,1398.2126,774.6393,1350.8344,798.9606,1378.9324,897.76526,1256.4148,938.98065
61,2.035,148.6,154.6,1357.128,659.20514,1387.4395,673.0076,1418.7201,783.79083,1351.734,811.26013,1407.6968,908.06964,1240.954,943.64246
62,2.069,164.0,159.4,1379.2914,663.7617,1401.3523,678.0862,1436.9355,792.33075,1349.6786,826.6026,1453.3,906.1877,1245.6185,951.75385
63,2.102,179.9,164.8,1390.8186,666.57074,1416.3182,684.46356,1448.0424,791.61676,1361.3344,832.2999,1497.6478,900.4516,1275.2183,952.60693
64,2.135,176.5,162.0,1410.0693,672.8932,1435.3206,685.73224,1469.5778,807.06976,1376.5967,831.0865,1510.6482,917.6045,1280.5634,945.434
65,2.169,173.8,158.0,1422.8875,679.4341,1455.4229,690.15735,1488.7662,818.28204,1398.9635,824.15265,1528.828,933.34753,1294.0203,929.8025
66,2.202,171.9,155.3,1437.9404,681.98376,1484.2708,691.50696,1496.3177,814.3422,1426.8435,820.9215,1528.3198,928.4951,1307.2701,926.07697
67,2.236,162.5,150.9,1472.2954,682.17175,1502.9263,685.72144,1518.3354,817.96716,1452.267,811.30316,1520.8494,937.9433,1321.4763,917.0138
68,2.269,152.3,151.3,1482.8174,682.2621,1511.0244,684.61707,1529.5496,818.2742,1458.7478,816.9178,1512.3918,929.7006,1331.4043,922.78455
69,2.302,142.4,140.9,1492.7014,681.16644,1530.7946,684.82385,1540.3925,821.9548,1496.7937,820.6291,1508.6737,914.6997,1374.2803,912.50464
70,2.336,149.7,132.1,1502.5118,683.6431,1557.5182,687.3273,1543.014,829.2213,1537.2085,818.965,1515.897,931.9279,1407.4951,904.3827
71,2.369,129.9,128.7,1513.1849,669.8282,1561.2811,680.34875,1562.4581,806.70245,1577.8405,825.9112,1512.8687,891.70154,1481.2529,923.00226
72,2.402,109.7,111.5,1535.5931,671.5527,1583.3558,680.28375,1593.6654,805.7692,1618.3558,823.54376,1515.782,878.7585,1495.6947,910.17957
73,2.436,125.9,124.6,1551.3704,675.9329,1615.2092,680.54663,1590.4406,813.6989,1629.1304,819.2593,1522.9794,899.2476,1523.1093,909.18097
74,2.469,133.1,125.6,1562.29,669.841,1628.506,674.7521,1591.088,800.2905,1663.0924,803.9034,1515.3429,910.6926,1569.919,917.3467
75,2.502,150.6,138.1,1571.0955,671.2685,1644.5846,674.70154,1581.1915,796.8906,1679.4999,793.4846,1518.7103,932.1641,1616.7987,924.9485
76,2.536,152.6,139.1,1574.4489,673.9807,1655.011,679.3786,1580.1414,797.59467,1705.506,802.91876,1518.315,931.7417,1660.2002,937.3876
